Bug编号,repair_hours,comment_count,comment_chars,files_changed_count,loc_changed,Zr,Zc,Zw,Zf,Zl,D_raw,D_100,难度等级
FLINK-38204,170.81583333333336,1.0,5.0,1.0,2.0,-0.5132046029624743,-0.8071207412433314,-0.4613870442481833,-0.3709413602330515,-0.24120465321647447,-0.46104865777487525,4.2531363020815105,极低
FLINK-36184,1.7013888888888888,2.0,23.0,3.0,157.0,-0.6677770214998073,-0.6690472559488748,-0.45450763308057934,-0.23532838982526924,-0.13591611495334016,-0.4586858122021866,4.41777007196812,极低
FLINK-35274,139.33555555555557,2.0,48.0,1.0,3.0,-0.5419779149543821,-0.6690472559488748,-0.4449528953477961,-0.3709413602330515,-0.24052537232445423,-0.45700532701835095,4.534859658461346,极低
FLINK-35259,13.967777777777778,1.0,109.0,4.0,67.0,-0.656565410312462,-0.8071207412433314,-0.4216393352798049,-0.16752190462137811,-0.19705139523516008,-0.456940357217917,4.539386498174385,极低
FLINK-38550,124.9475,2.0,229.0,1.0,16.0,-0.5551287522620867,-0.6690472559488748,-0.3757765941624452,-0.3709413602330515,-0.23169472072819136,-0.4540234340834583,4.742626209497948,极低
FLINK-38393,64.46083333333334,3.0,99.0,2.0,87.0,-0.6104142152315114,-0.5309737706544181,-0.42546123037291816,-0.30313487502916037,-0.18346577739475564,-0.4431127715618417,5.502838185962562,极低
FLINK-38593,2.617777777777778,1.0,5.0,6.0,31.0,-0.6669394322132055,-0.8071207412433314,-0.4613870442481833,-0.031908934213595835,-0.22150550734788804,-0.43482961109001583,6.07997617196337,极低
FLINK-37891,150.68055555555554,1.0,26.0,3.0,4.0,-0.5316084631073394,-0.8071207412433314,-0.45336106455264535,-0.23532838982526924,-0.23984609143243402,-0.43350057699371586,6.172578031395401,极低
FLINK-37449,33.98555555555556,3.0,108.0,3.0,137.0,-0.6382689464295648,-0.5309737706544181,-0.4220215247891162,-0.23532838982526924,-0.14950173279374457,-0.4318644654915583,6.2865758345817255,极低
FLINK-36681,82.2025,4.0,204.0,2.0,4.0,-0.5941981413499527,-0.39290028535996135,-0.38533133189522845,-0.30313487502916037,-0.23984609143243402,-0.42726305073765536,6.607184285046356,极低
FLINK-35865,111.28833333333333,3.0,24.0,3.0,30.0,-0.5676133772969683,-0.5309737706544181,-0.454125443571268,-0.23532838982526924,-0.22218478823990825,-0.4177150880336595,7.272448707260347,极低
FLINK-35938,278.52194444444444,1.0,36.0,1.0,31.0,-0.4147600606267408,-0.8071207412433314,-0.44953916945953204,-0.3709413602330515,-0.22150550734788804,-0.4175311814814288,7.285262591227437,极低
FLINK-35102,172.6275,4.0,96.0,1.0,2.0,-0.5115487201715626,-0.39290028535996135,-0.4266077989008522,-0.3709413602330515,-0.24120465321647447,-0.4154863345354405,7.427739469721072,极低
FLINK-36081,72.6713888888889,4.0,267.0,2.0,171.0,-0.6029096792711056,-0.39290028535996135,-0.3612533928086146,-0.30313487502916037,-0.12640618246505705,-0.4113238856523485,7.71776250783438,极低
FLINK-35264,3.528888888888889,3.0,194.0,4.0,306.0,-0.6661066668721766,-0.5309737706544181,-0.38915322698834176,-0.16752190462137811,-0.034703262042327175,-0.4055413319748402,8.120668064805082,极低
FLINK-38141,244.98416666666665,1.0,15.0,3.0,15.0,-0.44541394971651477,-0.8071207412433314,-0.45756514915506996,-0.23532838982526924,-0.23237400162021157,-0.3983223666257951,8.623657127582362,极低
FLINK-36649,166.71833333333333,4.0,655.0,1.0,2.0,-0.5169497619702537,-0.39290028535996135,-0.21296386319581823,-0.3709413602330515,-0.24120465321647447,-0.39628235768441356,8.765796912976748,极低
FLINK-35127,53.74305555555556,4.0,1366.0,2.0,15.0,-0.6202103792309799,-0.39290028535996135,0.05877287792453803,-0.30313487502916037,-0.23237400162021157,-0.39213671143625617,9.054649209690249,极低
FLINK-35700,1.9733333333333334,7.0,540.0,2.0,130.0,-0.66752846135686,0.02132017052340874,-0.25691565676662126,-0.30313487502916037,-0.15425669903788614,-0.38949315678003826,9.238841682522581,极低
FLINK-35409,209.7227777777778,3.0,59.0,2.0,144.0,-0.4776432378736923,-0.5309737706544181,-0.4407488107453714,-0.30313487502916037,-0.14474676654960303,-0.3857252870291864,9.501372001344315,极低
FLINK-37909,35.220555555555556,6.0,1495.0,1.0,1.0,-0.6371401431654752,-0.11675331477104796,0.10807532462569971,-0.3709413602330515,-0.24188393410849468,-0.384741786455262,9.569898446340282,极低
FLINK-37741,18.860833333333336,6.0,1651.0,1.0,32.0,-0.6520931049825159,-0.11675331477104796,0.16769688807826733,-0.3709413602330515,-0.22082622645586783,-0.38160215868892755,9.788655338956064,极低
FLINK-36148,76.16444444444446,5.0,243.0,3.0,268.0,-0.5997169889773747,-0.2548268000655047,-0.37042594103208654,-0.23532838982526924,-0.060515935939095586,-0.37032155754789065,10.574643180862662,极低
FLINK-36183,6.088333333333333,1.0,43.0,3.0,1172.0,-0.6637673071611279,-0.8071207412433314,-0.4468638428943527,-0.23532838982526924,0.5535539904471846,-0.3667043801674592,10.826673849041871,极低
FLINK-37012,165.94944444444445,6.0,634.0,2.0,27.0,-0.5176525346726829,-0.11675331477104796,-0.22098984289135618,-0.30313487502916037,-0.22422263091596892,-0.350252443029999,11.972980008100583,极低
FLINK-36891,56.061388888888885,5.0,684.0,4.0,210.0,-0.618091397665057,-0.2548268000655047,-0.20188036742578963,-0.16752190462137811,-0.09991422767626842,-0.349774886121937,12.006254291878756,极低
FLINK-36864,240.1688888888889,2.0,60.0,4.0,217.0,-0.4498151653222266,-0.6690472559488748,-0.4403666212360601,-0.16752190462137811,-0.09515926143212687,-0.3470218192175477,12.198077146685103,极低
FLINK-36115,26.554444444444446,6.0,515.0,5.0,150.0,-0.6450610617963952,-0.11675331477104796,-0.2664703944994045,-0.09971541941748698,-0.1406710811974817,-0.34237631267959734,12.521757738940401,极低
FLINK-35981,85.61,8.0,555.0,3.0,88.0,-0.5910836497528793,0.15939365581786544,-0.2511828141269513,-0.23532838982526924,-0.18278649650273543,-0.3318624476637879,13.25432242858368,极低
FLINK-37860,283.94944444444445,4.0,377.0,2.0,167.0,-0.40979926733455707,-0.39290028535996135,-0.3192125467843682,-0.30313487502916037,-0.12912330603313793,-0.3302832048105166,13.364357848378255,极低
FLINK-35991,126.51722222222222,3.0,85.0,6.0,320.0,-0.5536940092919178,-0.5309737706544181,-0.4308118835032768,-0.031908934213595835,-0.025193329554044075,-0.3294124021190422,13.425031948955088,极低
FLINK-38134,196.04694444444445,5.0,233.0,5.0,53.0,-0.4901430964209097,-0.2548268000655047,-0.37424783612519985,-0.09971541941748698,-0.20656132772344318,-0.31487775620032254,14.43774881002486,极低
FLINK-38310,322.8977777777778,1.0,185.0,5.0,159.0,-0.3742000723568076,-0.8071207412433314,-0.3925929325721437,-0.09971541941748698,-0.1345575531692997,-0.3147638841540372,14.445682965553836,极低
FLINK-35540,122.41694444444445,6.0,908.0,4.0,102.0,-0.5574417072184199,-0.11675331477104796,-0.11626991734005152,-0.16752190462137811,-0.17327656401445232,-0.31415096685599025,14.488388627985834,极低
FLINK-35984,144.8361111111111,9.0,319.0,3.0,107.0,-0.5369503480997928,0.29746714111232214,-0.3413795383244254,-0.23532838982526924,-0.1698801595543512,-0.3034855003505974,15.231516312112985,极低
FLINK-36596,500.71527777777777,2.0,7.0,2.0,97.0,-0.21167296756954326,-0.6690472559488748,-0.46062266522956063,-0.30313487502916037,-0.17667296847455344,-0.299920843174134,15.479887579409457,极低
FLINK-35294,498.7283333333333,1.0,42.0,3.0,105.0,-0.21348905613185407,-0.8071207412433314,-0.44724603240366406,-0.23532838982526924,-0.17123872133839166,-0.2953502054745172,15.798351605993108,极低
FLINK-36771,506.86944444444447,2.0,35.0,3.0,10.0,-0.20604799313951458,-0.6690472559488748,-0.4499213589688434,-0.23532838982526924,-0.2357704060803127,-0.28851371711594187,16.274691179034892,极低
FLINK-36656,382.2527777777778,2.0,76.0,3.0,450.0,-0.31994896487499014,-0.6690472559488748,-0.4342515890870788,-0.23532838982526924,0.0631131864085847,-0.28767458994862105,16.33315825389036,极低
FLINK-35813,625.3377777777778,2.0,31.0,1.0,2.0,-0.09776666410475016,-0.6690472559488748,-0.45145011700608867,-0.3709413602330515,-0.24120465321647447,-0.28007244097813044,16.862846041665396,极低
FLINK-35301,489.1738888888889,3.0,76.0,3.0,7.0,-0.22222192097027724,-0.5309737706544181,-0.4342515890870788,-0.23532838982526924,-0.23780824875637335,-0.2799146391320339,16.873841052561676,极低
FLINK-35545,6.9350000000000005,1.0,4.0,15.0,65.0,-0.6629934447344645,-0.8071207412433314,-0.4617692337574946,0.5783494326214244,-0.19840995701920053,-0.2772605107913924,17.0587702580643,极低
FLINK-36514,608.5527777777777,2.0,7.0,2.0,101.0,-0.11310833437822855,-0.6690472559488748,-0.46062266522956063,-0.30313487502916037,-0.17395584490647253,-0.26008742136239593,18.255323467455167,极低
FLINK-35430,262.3963888888889,6.0,591.0,6.0,26.0,-0.42949899159546223,-0.11675331477104796,-0.2374239917917434,-0.031908934213595835,-0.22490191180798916,-0.2489298476190614,19.032739245018167,极低
FLINK-37634,0.0077777777777777776,5.0,1960.0,8.0,389.0,-0.6693250002450064,-0.2548268000655047,0.28579344645546856,0.10370403619418643,0.021677051995351197,-0.2354557686111569,19.97155998237901,极低
FLINK-37348,333.2605555555556,8.0,954.0,3.0,36.0,-0.3647283821700935,0.15939365581786544,-0.0986891999117303,-0.23532838982526924,-0.21810910288778693,-0.23136937016690928,20.256284125552593,低
FLINK-36981,235.62333333333333,7.0,1231.0,4.0,291.0,-0.4539698519199693,0.02132017052340874,0.0071772941675083655,-0.16752190462137811,-0.044892475422630494,-0.2273525417676351,20.5361609020986,低
FLINK-35323,577.7002777777778,4.0,330.0,2.0,168.0,-0.14130785073881763,-0.39290028535996135,-0.33717545372200075,-0.30313487502916037,-0.12844402514111772,-0.224581036732181,20.729268453231253,低
FLINK-37578,576.4797222222222,3.0,319.0,4.0,132.0,-0.14242345162554962,-0.5309737706544181,-0.3413795383244254,-0.16752190462137811,-0.15289813725384568,-0.20901990829152559,21.81350657208543,低
FLINK-35859,550.1827777777777,6.0,209.0,3.0,31.0,-0.1664591412809947,-0.11675331477104796,-0.3834203843486718,-0.23532838982526924,-0.22150550734788804,-0.20865894998287038,21.838656724855753,低
FLINK-36866,199.70583333333332,11.0,803.0,3.0,448.0,-0.4867988326794365,0.5736141117012356,-0.15639981581774126,-0.23532838982526924,0.06175462462454426,-0.20256700724606086,22.263119292484784,低
