Bug编号,Source数据库类型,Source数据库版本,Sink数据库类型,Sink数据库版本,CDC工具类型,CDC受影响版本,CDC修复版本,依赖软件,依赖软件版本,,,软件情况,故障表现,首次报告时间,确认修复时间,修复 commit hash,tool_created_at,tool_updated_at,tool_closed_at,tool_merged_at,tool_merge_commit_hash,tool_labels,tool_files_changed,tool_total_comments_count,tool_total_chars,tool_total_words,tool_total_bytes,issue_comments_count,issue_comments_chars,issue_comments_words,issue_comments_bytes,review_comments_count,review_comments_chars,review_comments_words,review_comments_bytes,pr_detail_title_chars,pr_detail_body_chars,pr_detail_comments_count,pr_detail_review_comments_count,review_blocs_count,review_blocs_chars,review_blocs_words,review_blocs_bytes
FLINK-34817,MySQL,8.0.0,,,Flink CDC,2.2.1,,Flink,1.13.6,,,崩溃故障,,2023/9/22 16:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34819,Oracle,19c,,,Flink CDC,2.4.1,,Flink,1.14.2,,,崩溃故障,,2023/9/27 15:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34822,Oracle,11g,,,Flink CDC,2.1.0,,Flink,1.12.0,,,其他,数据变更,2023/10/23 10:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34823,PostgreSQL,11.9,,,Flink CDC,2.4.1,,Flink,1.17.0,,,崩溃故障,,2023/10/25 18:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34828,SQL Server,2014,,,Flink CDC,2.4.1,,Flink,1.16.0,,,逻辑故障,数据变更,2023/11/15 10:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34832,MariaDB,10.4.13,,,Flink CDC,2.4.0,,Flink,1.14.5,,,逻辑故障,数据变更,2023/12/1 19:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34833,SQL Server,,,,Flink CDC,3.0.0,,Flink,1.18.0,,,潜在故障（待确认）,,2023/12/12 10:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34843,,,,,Flink CDC,3.0.0,,Flink,1.18.0,,,潜在故障（待确认）,,2023/12/18 09:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34846,,,,,Flink CDC,3.0.0,,Flink,1.18.0,,,性能故障（待确认）,,2023/12/18 19:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34849,MySQL,,StarRocks,3.1.6,Flink CDC,3.0.0,3.1.0,Flink,1.18.0,,,崩溃故障,,2023/12/21 16:49,2024/4/24 07:57,c1e1aa48d93933c11ce9629d6f98041338f4d7a0,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34856,MySQL,,,,Flink CDC,3.0.0,3.1.0,Flink,1.18.0,,,崩溃故障,,2024/1/3 11:24,2024/4/24 07:57,c1e1aa48d93933c11ce9629d6f98041338f4d7a0,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34857,MySQL,,,,Flink CDC,2.4.0/2.4.2,,Flink,1.14.5,,,崩溃故障,,2024/1/3 19:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34859,Oracle,11g,,,Flink CDC,3.0.0,,Flink,1.17.1,,,崩溃故障,,2024/1/9 09:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34860,MySQL,5.7.0,,,Flink CDC,3.0.0,3.1.0,Flink,1.14.0,,,崩溃故障,,2024/1/10 10:28,2024/6/5 11:30,53c2fb977263853c03b345e087cb927e83049021,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34861,MySQL,5.7.0,,,Flink CDC,3.0.0,,Flink,1.14.3,,,崩溃故障,,2024/1/10 11:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34862,Oracle,12c,,,Flink CDC,2.4.2,,Flink,1.15.2,,,崩溃故障,,2024/1/15 09:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34866,MySQL,5.7.0,,,Flink CDC,3.0.1,,Flink,1.18.0,,,崩溃故障,,2024/1/26 09:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34867,MySQL,5.7.44,StarRocks,3.2.2,Flink CDC,3.0.1,,Flink,1.18.0,,,崩溃故障,,2024/1/29 17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34868,Oracle,19c,,,Flink CDC,2.4.0,,Flink,1.15.3,,,崩溃故障,,2024/1/29 18:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34869,MySQL,,,,Flink CDC,3.0.1,,Flink,1.18.0,,,崩溃故障（待复现）,结构变化,2024/1/31 17:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34870,MongoDB,5,,,Flink CDC,2.4.1,,Flink,1.15.2,,,性能故障（待确认）,,2024/2/1 10:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34871,Oracle,11g,,,Flink CDC,3.0.0,,Flink,1.18.1,,,崩溃故障,,2024/2/2 10:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34872,MySQL,5.6.24,Doris,2.0.0,Flink CDC,3.0.0,,Flink,1.18.1,,,崩溃故障（待复现）,结构变化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34873,MySQL,,StarRocks,,Flink CDC,3.0.0/3.0.1,,Flink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34882,MySQL,8.0.0,Doris,2.0.0,Flink CDC,3.0.1,,Flink,1.18.1,,,崩溃故障,,2024/3/5 18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34883,PostgreSQL,,,,Flink CDC,3.0.1,3.2.0,Flink,1.18.0,,,潜在故障（待确认）,,2024/3/6 16:55,2024/7/16 09:22,94a0415475e7040cc6a61e9bd8aca9c3ccea80ad,2024-04-29T09:06:20Z,2024-07-16T15:22:10Z,2024-07-16T15:22:10Z,2024-07-16T15:22:10Z,94a0415475e7040cc6a61e9bd8aca9c3ccea80ad,base;oracle-cdc-connector;postgres-cdc-connector;sqlserver-cdc-connector;e2e-tests;db2-cdc-connector,flink-cdc-connect/flink-cdc-source-connectors/flink-cdc-base/src/main/java/org/apache/flink/cdc/connectors/base/source/assigner/splitter/JdbcSourceChunkSplitter.java;flink-cdc-connect/flink-cdc-source-connectors/flink-cdc-base/src/test/java/org/apache/flink/cdc/connectors/base/experimental/MySqlChunkSplitter.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-db2-cdc/src/main/java/org/apache/flink/cdc/connectors/db2/source/dialect/Db2ChunkSplitter.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-oracle-cdc/src/main/java/org/apache/flink/cdc/connectors/oracle/source/assigner/splitter/OracleChunkSplitter.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-postgres-cdc/pom.xml;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-postgres-cdc/src/main/java/org/apache/flink/cdc/connectors/postgres/source/PostgresChunkSplitter.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-postgres-cdc/src/main/java/org/apache/flink/cdc/connectors/postgres/source/fetch/PostgresScanFetchTask.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-postgres-cdc/src/main/java/org/apache/flink/cdc/connectors/postgres/source/utils/PostgresQueryUtils.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-postgres-cdc/src/main/java/org/apache/flink/cdc/connectors/postgres/source/utils/PostgresTypeUtils.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-sqlserver-cdc/src/main/java/org/apache/flink/cdc/connectors/sqlserver/source/dialect/SqlServerChunkSplitter.java;flink-cdc-e2e-tests/flink-cdc-source-e2e-tests/pom.xml,14,1019,144,1019,5,304,53,304,8,631,79,631,44,817,5,8,1,84,12,84
FLINK-34884,MySQL,,,,Flink CDC,2.3.0,,Flink,1.18.0,,,崩溃故障,,2024/3/7 15:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34885,MySQL,5.6.0,StarRocks,3.2.3,Flink CDC,3.0.1,,Flink,1.18.1,,,逻辑故障（待确认）,数据变更,2024/3/13 11:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34889,,,,,Flink CDC,,,,,,,崩溃故障（待确认）,,2024/3/13 21:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34890,Oracle,19c,,,Flink CDC,2.4.1,,Flink,1.14.2,,,崩溃故障,,2023/12/18 19:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34905,MySQL,5.7.0/8.0.0,,,Flink CDC,3.0.0/3.0.1,3.1.0,Flink,1.18.1,,,崩溃故障,,2024/3/21 08:56,2024/4/11 05:42,18dd51fe22c26347bc9988d2fb8b6a78c2e922b5,2024-03-14T07:37:07Z,2024-04-11T05:42:31Z,2024-04-11T05:42:31Z,2024-04-11T05:42:31Z,18dd51fe22c26347bc9988d2fb8b6a78c2e922b5,common;runtime;mysql-pipeline-connector,flink-cdc-common/src/main/java/org/apache/flink/cdc/common/types/BinaryType.java;flink-cdc-common/src/main/java/org/apache/flink/cdc/common/types/CharType.java;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-mysql/src/main/java/org/apache/flink/cdc/connectors/mysql/utils/MySqlTypeUtils.java;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-mysql/src/test/java/org/apache/flink/cdc/connectors/mysql/source/MySqlPipelineITCase.java;flink-cdc-runtime/src/main/java/org/apache/flink/cdc/runtime/serializer/schema/DataTypeSerializer.java,5,934,119,934,0,0,0,0,2,836,103,836,101,4343,0,2,3,98,16,98
FLINK-34908,MySQL,5.7.0/8.0.0,StarRocks,,Flink CDC,3.1.0,3.1.1,Flink,,,,潜在故障（待确认）,,2024/3/21 10:50,2024/6/6 11:49,e2ccc836a056c16974e4956190bdce249705b7ee,2024-04-07T03:36:42Z,2024-06-11T02:32:19Z,2024-06-06T11:49:11Z,2024-06-06T11:49:11Z,e2ccc836a056c16974e4956190bdce249705b7ee,doris-pipeline-connector,flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-doris/src/main/java/org/apache/flink/cdc/connectors/doris/sink/DorisEventSerializer.java;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-doris/src/test/java/org/apache/flink/cdc/connectors/doris/sink/DorisRowConverterTest.java,13,1075,161,1075,7,636,99,636,4,346,46,346,102,133,7,4,2,93,16,93
FLINK-34925,SQL Server,,,,Flink CDC,3.0.0,,,,,,崩溃故障,,2024/3/24 10:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34948,,,,,Flink CDC,3.0.0,3.1.0,Flink,1.18.1,,,崩溃故障,,2024/3/27 07:45,2024/4/1 01:55,d099603ef15d9a1ed7ec33718db7ab2438ef1ab5,2024-03-12T11:11:02Z,2024-04-08T03:53:27Z,2024-04-01T01:55:34Z,2024-04-01T01:55:34Z,d099603ef15d9a1ed7ec33718db7ab2438ef1ab5,common,flink-cdc-common/src/main/java/org/apache/flink/cdc/common/types/DataField.java;flink-cdc-common/src/main/java/org/apache/flink/cdc/common/types/utils/DataTypeUtils.java;flink-cdc-common/src/test/java/org/apache/flink/cdc/common/types/utils/DataTypeUtilsTest.java,24,1371,220,1371,2,136,23,136,21,1160,186,1160,73,348,2,21,1,75,11,75
